Status,Condition,District,Area,Rooms,Bathrooms,Balcony+,Heating,Conditioner,Parking,Lift,PerSq
ძველი აშენებული,ძველი გარემონტებული,დიდი დიღომი,115,3,3,15,1,1,1,1,548
ძველი აშენებული,ძველი გარემონტებული,დიდი დიღომი,130,4,1,12,1,1,0,1,538
ძველი აშენებული,ძველი გარემონტებული,დიდი დიღომი,85,2,1,4,1,0,0,1,529
ძველი აშენებული,ძველი გარემონტებული,დიდი დიღომი,130,4,1,134,0,0,0,1,481
ძველი აშენებული,ძველი გარემონტებული,დიდი დიღომი,102,4,2,0,0,0,0,2,471
ძველი აშენებული,ძველი გარემონტებული,დიდი დიღომი,100,3,1,7,1,0,1,0,410
ახალი აშენებული,ძველი გარემონტებული,დიდი დიღომი,48,2,1,3,1,1,1,1,625
ძველი აშენებული,ახალი გარემონტებული,დიდუბე,50,2,1,3,1,1,0,0,1000
ძველი აშენებული,ახალი გარემონტებული,დიდუბე,95,3,2,0,1,1,0,1,842
ძველი აშენებული,ახალი გარემონტებული,დიდუბე,68,2,1,6,1,0,1,0,779
ძველი აშენებული,ახალი გარემონტებული,დიდუბე,150,4,1,8,1,1,1,0,633
ძველი აშენებული,ახალი გარემონტებული,დიდუბე,105,5,1,31,1,1,1,0,619
ახალი აშენებული,ახალი გარემონტებული,დიდუბე,51,2,1,5,1,1,1,2,1273
ახალი აშენებული,ახალი გარემონტებული,დიდუბე,79,3,1,10,1,1,0,2,1087
ახალი აშენებული,ახალი გარემონტებული,დიდუბე,50,2,1,2,1,0,1,1,986
ახალი აშენებული,ახალი გარემონტებული,დიდუბე,71,3,1,8,1,1,1,2,958
ახალი აშენებული,ახალი გარემონტებული,დიდუბე,58,2,1,5,1,1,0,1,940
ახალი აშენებული,ახალი გარემონტებული,დიდუბე,74,3,1,0,1,0,0,1,926
ახალი აშენებული,ახალი გარემონტებული,დიდუბე,60,2,1,3,1,1,0,1,917
ახალი აშენებული,ახალი გარემონტებული,დიდუბე,111,3,1,11,1,1,1,1,901
ახალი აშენებული,ახალი გარემონტებული,დიდუბე,75,3,1,5,1,1,0,2,900
ახალი აშენებული,ახალი გარემონტებული,დიდუბე,138,5,1,9,1,0,0,1,900
ახალი აშენებული,ახალი გარემონტებული,დიდუბე,51,2,1,0,1,0,0,1,900
ახალი აშენებული,ახალი გარემონტებული,დიდუბე,44,2,1,4,1,1,1,1,866
ახალი აშენებული,ახალი გარემონტებული,დიდუბე,131,4,2,7,1,1,1,1,858
ახალი აშენებული,ახალი გარემონტებული,დიდუბე,96,3,1,10,1,1,1,1,833
ახალი აშენებული,ახალი გარემონტებული,დიდუბე,100,3,1,0,1,0,1,1,790
ახალი აშენებული,თეთრი კარკასი,დიდუბე,68,3,1,4,1,0,0,1,822
ახალი აშენებული,თეთრი კარკასი,დიდუბე,100,4,2,10,1,0,1,2,599
ახალი აშენებული,შავი კარკასი,დიდუბე,80,3,1,0,0,0,0,2,688
ახალი აშენებული,შავი კარკასი,დიდუბე,98,4,3,9,0,0,1,2,561
