ID,Status,Condition,District,Area,Rooms,Bedrooms,Bathrooms,Floor,Floors,Balcony,Veranda,Loggia,Heating,Parking,Storeroom,Hot,Gas,Internet,Fireplace,Furniture,Passenger,Service,Telephone,Television,Conditioner,Views,PerSq,PREDICTION,Difference
8875235,new,black,saburtalo,138,4,3,2,2,18,25,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,286,522,713,191
8507729,old,newRenov,muxiani,67,2,1,1,9,9,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1784,522,576,54
8957679,old,oldRenov,sandzona,86,2,2,1,7,8,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,17,523,508,15
8955105,old,oldRenov,sandzona,86,2,0,1,7,8,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,46,523,550,27
8939476,WIP,black,saburtalo,52,2,2,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,523,548,25
8953230,old,oldRenov,gldani,105,5,4,2,5,9,0,0,0,1,1,1,1,1,1,0,0,1,0,0,1,0,53,524,528,4
8943545,old,oldRenov,gldani,63,3,2,1,3,9,0,0,0,1,0,0,1,1,1,0,0,1,0,0,1,1,132,524,578,54
8935063,old,oldRenov,varketili,40,1,0,1,3,5,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,316,525,493,32
8927503,old,newRenov,varketili,80,3,2,2,3,9,0,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,129,525,542,17
8948574,old,oldRenov,vake,58,3,2,1,2,5,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,191,526,880,354
8911516,new,newRenov,sandzona,78,3,2,1,14,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,159,526,590,64
8851519,new,white,vazisubani,76,3,2,1,4,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,206,526,500,26
8955771,new,newRenov,vazisubani,104,3,2,2,10,10,7,40,0,1,1,0,1,1,1,0,0,1,0,0,1,0,29,529,627,98
8949943,old,newRenov,vazisubani,70,3,2,1,1,8,0,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,63,529,523,6
8941569,new,black,saburtalo,51,2,1,1,6,11,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,176,529,727,198
8922595,old,oldRenov,gldani,85,3,2,2,2,10,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,103,529,519,10
8930211,new,white,didDigomi,100,3,2,1,2,5,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,59,530,540,10
7966116,new,black,didDigomi,90,4,3,1,5,7,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,3012,530,471,59
8950033,old,newRenov,sandzona,113,5,3,1,2,9,0,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,55,531,613,82
8932921,old,newRenov,saburtalo,320,6,4,2,8,9,0,0,0,1,1,1,1,1,1,0,0,1,0,1,0,1,44,531,699,168
8930859,old,newRenov,vake,140,4,2,2,1,1,0,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,68,531,884,353
8894245,old,newRenov,didDigomi,145,4,3,2,1,9,14,12,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1375,531,582,51
8957168,WIP,black,vake,94,3,2,2,2,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,40,532,763,231
8945107,old,oldRenov,isani,94,4,3,2,2,9,0,0,0,1,0,1,1,1,1,0,1,1,0,0,1,0,74,532,587,55
8916262,new,black,vake,310,5,4,3,12,12,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,223,532,832,300
8948257,old,newRenov,temqa,75,3,2,1,3,8,3,0,5,0,0,0,0,1,0,0,0,1,0,0,0,1,110,533,562,29
8944213,new,newRenov,varketili,45,2,1,2,2,9,0,0,0,1,0,0,1,1,0,0,1,1,0,1,0,0,208,533,634,101
8942278,new,white,didDigomi,60,3,2,1,3,7,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,48,533,530,3
8937666,old,newRenov,vazisubani,60,2,1,2,9,9,0,0,0,1,0,1,1,1,1,0,0,1,0,0,1,0,173,533,569,36
8820913,old,newRenov,vazisubani,60,2,1,1,5,8,0,0,0,1,0,1,1,1,1,0,0,1,0,1,1,0,496,533,552,19
8586378,old,oldRenov,gldani,90,3,2,1,5,16,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,786,533,549,16
8930629,old,newRenov,vake,140,3,2,3,18,8,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,95,534,938,404
8930666,old,oldRenov,samgori,78,3,2,1,1,3,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,62,535,539,4
8850376,new,newRenov,varketili,43,2,1,1,8,9,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,911,535,632,97
8947533,old,newRenov,samgori,65,3,2,1,8,9,0,0,7,0,1,1,1,1,1,0,0,1,0,0,0,0,55,538,594,56
8940883,new,white,didDigomi,78,3,2,1,6,10,10,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,569,538,507,31
8878681,old,newRenov,didDigomi,115,4,3,2,2,9,0,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,271,539,627,88
8934447,old,oldRenov,gldani,61,2,1,1,3,9,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,61,541,537,4
8895145,old,oldRenov,didDigomi,85,2,1,1,13,13,0,0,0,1,0,1,1,1,1,0,1,1,0,0,1,0,155,541,572,31
