Status,Condition,District,Area,Rooms,Bathrooms,Balcony,lastoffirst,Heating,Parking,Storeroom,Fireplace,Furniture,Lift,Conditioner,PerSq
new,newRenov,gldani,56,3,2,4,1,1,0,0,0,1,1,1,768
new,newRenov,gldani,64,3,1,4,1,0,0,0,0,0,1,0,719
new,newRenov,gldani,56,2,1,4,1,0,0,0,0,0,1,0,621
new,white,gldani,45,2,1,4,1,0,0,0,0,0,1,0,667
old,oldRenov,gldani,62,2,1,4,1,1,0,1,0,1,1,0,565
new,newRenov,didiDigomi,46,2,1,4,1,1,0,0,0,0,1,0,1200
new,newRenov,didiDigomi,61,3,1,4,1,1,1,1,1,0,1,0,902
new,newRenov,didiDigomi,73,3,1,4,1,1,1,1,0,1,1,1,822
new,newRenov,didiDigomi,44,2,1,4,1,1,1,0,0,1,1,0,795
new,newRenov,didiDigomi,37,2,1,4,1,0,0,0,0,0,1,0,757
new,newRenov,didiDigomi,58,3,1,4,1,1,1,1,0,0,1,0,724
new,newRenov,didiDigomi,53,3,1,4,1,1,0,0,0,0,1,0,717
new,newRenov,didiDigomi,48,2,1,4,1,1,1,0,0,0,1,0,698
new,newRenov,didiDigomi,61,3,1,4,1,0,1,0,0,0,0,0,689
new,newRenov,didiDigomi,78,3,1,4,1,0,0,0,0,0,1,0,577
new,white,didiDigomi,54,3,1,4,1,0,0,0,0,0,1,0,620
new,black,didiDigomi,58,2,1,4,1,0,0,0,0,0,0,0,517
old,oldRenov,didiDigomi,85,2,1,4,1,1,0,1,0,1,1,0,529
new,newRenov,didube,44,2,1,4,1,1,1,0,0,1,1,1,866
new,white,didube,68,3,1,4,1,1,0,1,0,0,1,0,822
new,newRenov,digmisMas,73,3,1,4,1,1,0,0,0,0,1,1,863
new,newRenov,digmisMas,73,3,1,4,1,1,1,0,0,0,1,1,863
new,newRenov,varketili,42,2,1,4,1,1,1,0,0,1,1,1,881
new,newRenov,varketili,45,2,2,4,1,1,1,0,0,1,1,0,798
new,white,varketili,49,3,1,4,1,0,0,0,0,0,0,0,561
new,white,varketili,58,3,1,4,1,0,0,0,0,0,1,0,469
old,newRenov,temka,58,2,1,4,1,0,0,0,0,0,1,0,621
new,newRenov,temka,62,3,1,4,1,1,1,0,0,1,1,0,806
new,newRenov,temka,69,3,1,4,1,0,0,0,0,0,1,0,681
old,newRenov,isani,35,1,1,4,1,1,1,0,0,0,1,0,523
old,newRenov,nadzaladevi,110,5,1,4,1,1,1,1,0,1,1,0,818
new,newRenov,nadzaladevi,49,2,1,4,1,1,1,0,0,1,1,0,1016
old,oldRenov,nucubidze,100,3,2,4,1,1,0,1,0,0,1,0,588
old,oldRenov,ortatsala,34,1,1,4,1,1,1,1,0,1,0,0,647
old,newRenov,saburtalo,120,3,2,4,1,1,1,1,0,1,1,1,833
new,newRenov,saburtalo,80,3,1,4,1,1,0,0,0,1,1,1,1438
new,newRenov,saburtalo,50,3,1,4,1,1,0,0,0,1,1,0,1340
new,newRenov,saburtalo,93,4,1,4,0,1,1,0,0,0,1,0,1072
new,newRenov,saburtalo,60,2,1,4,1,0,0,0,0,0,0,0,1032
new,newRenov,saburtalo,58,3,1,4,1,1,0,0,0,0,1,0,1007
new,newRenov,saburtalo,43,2,1,4,1,1,1,0,0,1,1,0,1000
new,newRenov,saburtalo,61,2,1,4,1,1,0,1,0,0,1,0,982
new,newRenov,saburtalo,83,3,2,4,0,1,1,1,0,0,1,0,898
new,newRenov,saburtalo,100,3,1,4,0,1,1,0,0,0,1,0,640
new,white,saburtalo,60,4,2,4,1,0,0,0,0,0,1,0,917
old,oldRenov,saburtalo,35,1,1,4,1,1,0,0,0,0,0,0,857
old,oldRenov,saburtalo,62,2,1,4,1,1,1,1,0,1,1,0,774
new,oldRenov,saburtalo,129,4,2,4,1,1,0,0,0,0,1,1,930
new,oldRenov,saburtalo,150,6,2,4,0,1,1,1,0,1,1,1,510
new,black,saburtalo,105,4,1,11,1,0,0,0,0,0,1,0,762
old,newRenov,didube,150,4,1,8,1,1,1,0,0,1,0,1,633
old,oldRenov,gldani,90,3,2,18,1,1,1,1,0,1,1,0,506
old,oldRenov,gldani,75,3,1,18,1,1,0,1,0,0,1,0,427
old,newRenov,digmisMas,97,4,2,18,1,1,1,0,1,0,1,1,803
old,newRenov,gldani,75,3,3,15,1,1,1,1,0,1,1,0,591
old,newRenov,gldani,77,2,1,15,1,1,1,0,0,1,1,0,586
old,oldRenov,gldani,78,3,2,15,1,1,1,0,0,0,0,0,487
old,oldRenov,didiDigomi,115,3,3,15,1,1,1,1,0,1,1,1,548
old,oldRenov,varketili,90,4,1,13,1,1,0,1,0,1,0,0,424
old,newRenov,saburtalo,58,2,1,13,1,0,0,0,0,0,1,0,1000
old,oldRenov,chugureti,125,4,1,13,1,1,0,0,0,0,0,0,803
new,newRenov,varketili,65,2,1,11,0,0,0,0,0,1,0,0,538
old,newRenov,gldani,57,1,1,9,1,0,1,0,0,1,1,0,526
old,oldRenov,varketili,50,2,2,7,1,1,0,0,0,0,1,0,440
