Status,Condition,District,Area,Rooms,Bedrooms,Bathrooms,Floor,Floors,Balcony,Veranda,Loggia,Heating,Parking,Storeroom,Hot,Gas,Internet,Fireplace,Furniture,Passenger,Service,Telephone,Television,Conditioner,PerSq
new,newRenov,vake,82,4,3,2,3,8,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,921
new,newRenov,vake,90,4,3,1,4,12,0,0,0,1,1,1,1,1,1,0,1,1,0,1,1,0,900
new,newRenov,vake,150,5,3,2,11,13,3,0,0,1,0,1,1,1,1,0,1,1,0,1,1,1,833
new,newRenov,vake,92,3,2,1,1,19,5,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,826
new,newRenov,vake,103,2,1,2,10,11,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,816
new,newRenov,vake,155,3,2,2,3,8,4,40,0,1,0,1,1,1,1,0,1,1,0,0,0,0,742
new,newRenov,varketili,42,2,1,1,2,8,4,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,881
new,newRenov,varketili,84,3,1,1,1,9,7,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,805
new,newRenov,varketili,45,2,1,2,2,8,4,0,0,1,1,0,1,1,0,0,1,1,0,0,0,0,798
new,newRenov,varketili,50,2,1,2,3,9,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,794
new,newRenov,varketili,70,3,2,1,9,13,7,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,786
new,newRenov,varketili,48,2,1,1,5,10,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,771
new,newRenov,varketili,71,3,2,1,6,12,0,0,0,1,1,0,1,1,1,0,1,1,1,0,1,0,732
new,newRenov,varketili,78,4,3,1,3,9,6,0,0,1,0,0,1,1,1,0,1,1,1,0,1,0,731
new,newRenov,varketili,62,3,2,1,2,6,3,0,0,1,1,1,1,1,1,0,1,1,1,0,1,0,726
new,newRenov,varketili,49,2,1,1,2,11,6,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,714
new,newRenov,varketili,50,2,1,1,3,9,5,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0,700
new,newRenov,varketili,54,3,2,1,5,13,3,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,694
new,newRenov,varketili,66,3,2,1,5,12,5,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,689
new,newRenov,varketili,74,4,3,2,5,6,3,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,670
new,newRenov,varketili,42,2,1,1,6,9,2,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,621
new,newRenov,varketili,54,2,0,1,4,9,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,611
new,newRenov,varketili,45,2,0,1,1,8,8,0,0,1,1,1,1,1,1,0,0,1,1,0,0,0,589
