ID,Status,Condition,District,Area,Rooms,Bedrooms,Bathrooms,Floor,Floors,Balcony,Veranda,Loggia,Heating,Parking,Storeroom,Hot,Gas,Internet,Fireplace,Furniture,Passenger,Service,Telephone,Television,Conditioner,Views,PerSq
8830777,new,newRenov,didDigomi,53,2,1,1,5,9,7,0,0,0,1,1,1,1,1,0,1,1,0,1,1,0,844,723
8951421,new,newRenov,didDigomi,52,3,2,1,3,8,3,0,0,1,1,0,1,1,1,0,0,1,0,1,0,0,239,638
8546599,new,newRenov,didDigomi,41,2,1,1,4,7,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1265,620
8939263,new,newRenov,didDigomi,54,2,1,1,6,12,4,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,159,722
8911839,new,newRenov,didDigomi,60,3,2,1,5,8,0,0,0,1,0,0,1,1,1,0,0,1,0,1,1,1,331,750
8948691,new,newRenov,didDigomi,48,2,1,1,4,10,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,111,688
8955908,new,newRenov,didDigomi,107,3,2,1,5,5,0,0,0,1,1,1,1,1,1,0,1,0,0,0,1,0,25,682
8955768,new,newRenov,didDigomi,49,2,1,1,7,9,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,124,708
8825156,new,newRenov,didDigomi,48,2,1,1,9,9,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,486,708
8955587,new,newRenov,didDigomi,112,4,3,2,13,15,0,0,0,1,1,1,1,1,1,0,0,1,0,0,1,0,18,509
8952863,new,newRenov,didDigomi,67,3,2,1,3,16,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,71,712
8889347,new,newRenov,didDigomi,62,3,2,1,1,10,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,121,700
8889359,new,newRenov,didDigomi,58,3,2,2,4,10,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,120,700
8955281,new,newRenov,didDigomi,114,4,3,1,3,4,0,0,0,1,1,0,1,1,1,0,1,1,0,1,1,1,44,570
8780274,new,newRenov,didDigomi,65,3,2,1,6,11,0,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0,479,805
8948862,new,newRenov,didDigomi,60,3,2,1,5,10,3,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,54,700
8948868,new,newRenov,didDigomi,50,2,1,1,9,8,4,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,62,670
8916397,new,newRenov,didDigomi,45,3,2,1,2,8,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1462,798
8875595,new,newRenov,didDigomi,59,2,1,1,2,9,4,0,0,1,0,0,1,1,1,0,1,1,0,0,0,1,171,851
8875599,new,newRenov,didDigomi,116,4,2,1,4,9,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,160,850
8954933,new,newRenov,didDigomi,46,3,2,2,8,10,2,0,0,1,1,0,1,1,1,0,0,1,0,1,1,0,34,835
8954072,new,newRenov,didDigomi,115,3,2,1,9,9,0,50,0,1,1,1,1,1,1,0,1,1,0,1,1,1,67,487
8954054,new,newRenov,didDigomi,96,3,2,1,9,9,0,0,0,1,1,1,1,1,1,0,1,1,0,1,1,0,51,646
8954037,new,newRenov,didDigomi,51,2,1,1,5,10,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,30,696
8834086,new,newRenov,didDigomi,45,2,1,1,8,12,0,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,474,756
8881138,new,newRenov,didDigomi,52,3,2,1,6,6,0,0,0,1,1,1,1,1,1,0,1,1,0,1,1,0,291,712
8814574,new,newRenov,didDigomi,60,2,1,1,3,14,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1299,667
8953200,new,newRenov,didDigomi,66,2,1,1,9,12,4,0,0,1,1,0,1,1,1,0,1,1,1,0,1,0,22,770
8952996,new,newRenov,didDigomi,198,3,2,2,1,2,0,123,0,1,1,0,1,1,1,0,1,0,0,0,1,0,77,260
8937832,new,newRenov,didDigomi,96,3,2,1,3,5,0,0,0,1,1,0,1,1,1,0,1,1,0,0,1,0,146,802
8849509,new,newRenov,didDigomi,57,3,2,1,6,6,7,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,323,684
8948572,new,newRenov,didDigomi,44,2,1,2,5,9,0,0,0,1,0,0,1,1,1,0,0,1,0,0,1,0,55,705
8790703,new,newRenov,didDigomi,45,2,1,1,4,5,6,0,0,1,1,0,1,1,1,0,1,0,0,0,1,0,390,778
8918286,new,newRenov,didDigomi,55,2,1,1,9,9,0,10,0,1,1,0,1,1,1,0,0,1,1,0,0,0,660,582
8822171,new,newRenov,didDigomi,159,5,4,2,9,9,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,335,806
8946095,new,newRenov,didDigomi,60,3,2,1,9,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,218,710
8951122,new,newRenov,didDigomi,71,3,2,1,7,10,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,24,817
8951089,new,newRenov,didDigomi,55,2,1,1,10,11,0,0,0,1,0,0,1,1,1,0,1,1,1,0,1,1,42,1000
8951061,new,newRenov,didDigomi,100,4,3,1,5,5,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,50,770
