ID,Area,Status,Condition,District,Rooms,Bedrooms,Bathrooms,Floor,Floors,Balcony,Veranda,Loggia,Heating,Parking,Storeroom,Hot,Gas,Internet,Fireplace,Furniture,Passenger,Service,Telephone,Television,Conditioner,Views,PerSq
8891674,150,new,newRenov,saburtalo,4,3,2,11,15,6,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,588,893
8931385,150,new,newRenov,digmisMas,4,2,2,9,10,15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,94,1000
8731327,150,new,newRenov,saburtalo,4,3,2,4,12,0,0,0,1,1,0,1,1,1,0,0,1,1,1,1,1,790,1100
8776312,150,new,white,vake,4,3,2,8,8,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,291,1177
8957101,150,new,newRenov,vake,4,3,3,7,10,0,0,0,1,1,0,1,1,1,0,1,1,0,1,1,1,17,1667
8886355,148,new,newRenov,sandzona,4,3,2,13,14,0,0,0,1,0,1,1,1,1,0,1,1,0,1,1,1,195,709
8943343,147,new,black,varketili,4,0,1,9,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,56,450
8924637,147,old,oldRenov,saburtalo,4,3,2,5,9,0,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,43,1020
8801178,147,new,newRenov,vake,4,3,2,4,4,18,0,0,0,1,0,1,1,1,1,1,1,0,1,1,1,406,1307
8906909,146,old,newRenov,vake,4,3,2,7,8,0,0,0,1,0,1,1,1,1,1,1,1,0,0,1,1,120,1062
8894245,145,old,newRenov,didDigomi,4,3,2,1,9,14,12,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1375,531
8878945,145,new,newRenov,digmisMas,4,2,2,9,15,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,111,721
8819094,145,new,newRenov,digmisMas,4,3,2,15,17,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,290,1069
8233506,141,new,newRenov,saburtalo,4,0,2,8,12,0,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,2313,1028
8947479,140,old,newRenov,varketili,4,3,2,9,9,0,0,0,1,1,1,1,1,1,0,1,1,0,1,1,0,39,454
