	Area	Rooms	Bedrooms	Bathrooms	Floor	Floors	Balcony	Veranda	Loggia	Heating	Parking	Storeroom	Hot	Gas	Internet	Fireplace	Furniture	Passenger	Service	Telephone	Television	Conditioner	St_new	St_old	Co_black	Co_newRenov	Co_oldRenov	Co_white	Di_didiDigomi	Di_digmisMas	Di_gldani	Di_saburtalo	Di_vake	Di_varketili
135	60	3	2	1	2	10	5	0	0	1	0	1	1	1	1	0	1	0	0	1	1	1	1	0	0	1	0	0	0	1	0	0	0	0
136	130	4	3	3	13	13	0	0	0	1	1	0	1	1	1	0	0	0	0	1	0	1	1	0	0	1	0	0	0	1	0	0	0	0
137	72	3	2	1	2	10	5	0	0	1	1	0	1	1	1	0	1	1	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0
138	72	3	2	1	2	10	5	0	0	1	1	0	1	1	1	0	1	1	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0
139	64	2	1	1	6	6	0	20	0	1	0	0	1	1	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	0
140	78	5	4	1	3	6	0	0	0	1	0	1	1	1	1	0	1	0	0	1	1	0	1	0	0	1	0	0	0	1	0	0	0	0
141	78	5	4	2	3	6	0	0	0	1	0	1	1	1	1	0	1	1	0	1	1	0	1	0	0	1	0	0	0	1	0	0	0	0
142	61	2	1	1	3	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0
143	127	3	2	2	3	10	0	0	0	1	0	0	1	1	1	0	1	1	0	0	1	1	1	0	0	1	0	0	0	0	0	0	1	0
144	109	3	2	1	11	17	0	27	0	1	0	1	1	1	1	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0
145	71	2	1	1	6	24	16	0	0	1	1	0	1	1	1	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0
146	91	2	1	1	9	10	6	0	0	1	0	1	1	1	1	0	0	1	0	0	1	1	1	0	0	1	0	0	0	0	0	0	1	0
147	102	3	2	3	5	13	0	0	0	0	1	0	0	1	1	1	1	1	1	1	1	1	1	0	0	1	0	0	0	0	0	0	1	0
148	125	3	2	1	2	6	5	0	0	1	0	0	1	1	1	0	1	1	0	0	1	1	1	0	0	1	0	0	0	0	0	0	1	0
149	100	3	2	1	10	14	6	0	0	1	1	1	1	1	1	0	1	1	0	1	1	1	1	0	0	1	0	0	0	0	0	0	1	0
150	153	3	2	2	2	7	0	40	0	1	0	0	1	1	1	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0
151	135	4	3	1	12	13	5	12	0	1	1	1	1	1	1	1	1	1	0	1	1	0	1	0	0	1	0	0	0	0	0	0	1	0
152	155	5	3	2	7	8	18	0	0	1	1	0	1	1	1	0	0	1	0	1	1	1	1	0	0	1	0	0	0	0	0	0	1	0
153	88	3	2	1	7	15	12	0	0	1	0	1	1	1	1	0	0	1	1	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0
154	70	2	1	1	2	13	0	0	0	1	0	0	1	1	1	0	1	1	0	0	1	1	1	0	0	1	0	0	0	0	0	0	1	0
155	115	3	2	2	3	11	15	0	0	1	0	0	1	1	1	0	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	1	0
156	98	3	2	1	5	10	8	0	0	1	0	0	1	1	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0
157	75	3	2	1	7	9	7	0	0	1	0	1	1	1	1	0	1	1	0	1	0	1	1	0	0	1	0	0	0	0	0	0	1	0
158	67	3	2	1	3	8	7	0	0	1	0	1	1	1	1	0	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	1	0
159	127	4	3	2	2	9	8	0	0	1	1	1	1	1	1	0	0	1	0	1	1	0	1	0	0	1	0	0	0	0	0	0	1	0
160	106	4	2	1	6	10	5	0	0	1	0	0	1	1	1	1	1	1	0	1	0	1	1	0	0	1	0	0	0	0	0	0	1	0
161	108	3	2	1	6	11	0	0	0	1	0	1	1	1	1	0	1	1	0	1	1	1	1	0	0	1	0	0	0	0	0	0	1	0
162	70	2	1	1	6	12	14	0	0	1	0	0	1	1	1	0	1	1	0	1	1	1	1	0	0	1	0	0	0	0	0	0	1	0
163	45	2	1	1	3	10	0	0	0	1	0	1	1	0	1	0	0	0	0	1	1	1	1	0	0	1	0	0	0	0	0	0	1	0
164	75	2	1	3	3	6	0	0	0	0	0	0	0	1	1	1	0	1	0	1	1	1	1	0	0	1	0	0	0	0	0	0	1	0
165	90	3	2	1	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0
166	68	2	1	1	14	15	7	0	0	1	0	0	1	1	1	0	0	0	1	1	1	1	1	0	0	1	0	0	0	0	0	0	1	0
167	100	3	2	2	6	14	0	0	0	1	0	1	1	1	1	0	1	1	0	1	1	1	1	0	0	1	0	0	0	0	0	0	1	0
168	82	4	3	2	3	8	0	0	0	1	1	0	1	1	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0
169	90	4	3	1	4	12	0	0	0	1	1	1	1	1	1	0	1	1	0	1	1	0	1	0	0	1	0	0	0	0	0	0	1	0
