Status,Condition,District,Area,Rooms,Bedrooms,Bathrooms,Floor,Floors,Balcony,Veranda,Loggia,Heating,Parking,Storeroom,Hot,Gas,Internet,Fireplace,Furniture,Passenger,Service,Telephone,Television,Conditioner,PerSq
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,72,3,2,3,5,5,6,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,542
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,44,2,1,1,0,5,0,0,0,1,1,1,1,1,1,0,1,0,0,0,1,0,520
ახალი აშენებული,თეთრი კარკასი,დიდი დიღომი,60,3,2,1,8,9,7,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,667
ახალი აშენებული,თეთრი კარკასი,დიდი დიღომი,130,5,3,2,4,12,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,638
ახალი აშენებული,თეთრი კარკასი,დიდი დიღომი,54,3,2,1,6,10,4,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,620
ახალი აშენებული,თეთრი კარკასი,დიდი დიღომი,47,3,2,1,8,14,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,606
ახალი აშენებული,თეთრი კარკასი,დიდი დიღომი,54,2,1,1,3,8,7,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,602
ახალი აშენებული,თეთრი კარკასი,დიდი დიღომი,53,2,0,1,9,10,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,600
ახალი აშენებული,თეთრი კარკასი,დიდი დიღომი,80,3,2,1,8,20,8,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,600
ახალი აშენებული,თეთრი კარკასი,დიდი დიღომი,80,3,2,1,8,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600
ახალი აშენებული,თეთრი კარკასი,დიდი დიღომი,45,2,1,1,7,14,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,600
ახალი აშენებული,თეთრი კარკასი,დიდი დიღომი,62,3,2,1,6,11,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,581
ახალი აშენებული,თეთრი კარკასი,დიდი დიღომი,56,2,1,2,3,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,571
ახალი აშენებული,თეთრი კარკასი,დიდი დიღომი,84,3,2,1,12,13,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,563
ახალი აშენებული,თეთრი კარკასი,დიდი დიღომი,56,2,1,1,3,11,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,563
ახალი აშენებული,თეთრი კარკასი,დიდი დიღომი,90,4,2,1,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,546
ახალი აშენებული,თეთრი კარკასი,დიდი დიღომი,88,3,2,1,7,9,8,0,0,1,1,0,1,1,1,0,0,1,0,1,0,0,472
ახალი აშენებული,შავი კარკასი,დიდი დიღომი,48,2,1,1,4,10,2,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,542
ახალი აშენებული,შავი კარკასი,დიდი დიღომი,76,3,2,2,2,10,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,539
ახალი აშენებული,შავი კარკასი,დიდი დიღომი,58,2,1,1,9,10,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,517
ახალი აშენებული,შავი კარკასი,დიდი დიღომი,48,2,1,1,8,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500
