ID,Status,Condition,District,Area,Rooms,Bedrooms,Bathrooms,Floor,Floors,Balcony,Veranda,Loggia,Heating,Parking,Storeroom,Hot,Gas,Internet,Fireplace,Furniture,Passenger,Service,Telephone,Television,Conditioner,Views,PerSq,PREDICTION
8929590,old,newRenov,saburtalo,40,1,0,1,6,8,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,133,1008,1024
8924931,old,oldRenov,nucubidze,41,2,1,1,8,9,4,0,0,1,0,1,1,1,1,0,1,1,0,1,1,0,251,578,638
8869601,new,newRenov,didDigomi,41,2,1,1,2,9,3,0,0,1,1,1,1,1,1,0,1,1,0,0,1,0,729,695,727
8931753,new,newRenov,muxiani,41,2,1,3,12,17,0,0,0,1,0,0,1,1,1,0,1,1,0,0,1,0,110,829,861
8931489,old,newRenov,gldani,41,2,1,1,1,9,0,0,0,1,0,0,1,1,1,0,1,0,0,1,1,0,112,659,636
8835714,new,newRenov,didDigomi,41,2,1,1,3,8,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,265,707,720
8956071,old,newRenov,digmisMas,41,2,1,1,0,5,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,1,52,732,802
8881411,new,newRenov,muxiani,41,2,1,1,15,17,0,0,0,1,0,0,1,1,1,0,1,1,1,1,1,0,288,988,844
8938329,new,newRenov,nucubidze,41,2,1,1,5,6,0,0,0,1,0,0,1,1,1,0,0,1,0,1,1,1,68,1024,933
8857949,new,white,varketili,41,2,1,1,6,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,677,500,540
8546599,new,newRenov,didDigomi,41,2,1,1,4,7,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1265,620,667
8957099,new,newRenov,didDigomi,41,2,1,1,4,9,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,37,678,715
8886155,new,newRenov,saburtalo,41,2,1,1,9,11,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,188,1339,1216
8938719,new,newRenov,vazisubani,42,2,1,1,6,9,4,0,0,1,0,0,1,1,1,0,1,1,1,0,1,0,62,905,784
8851461,new,newRenov,didDigomi,42,2,1,1,14,16,2,0,0,1,0,0,1,1,1,0,0,1,1,1,0,0,111,1100,851
8730453,new,newRenov,varketili,42,2,1,1,6,9,1,0,0,1,1,0,1,1,1,0,1,1,1,0,1,1,866,714,772
8943927,new,newRenov,varketili,42,2,1,2,9,9,0,0,0,1,1,1,1,1,1,0,1,1,1,0,0,0,77,650,691
